X,Y,Z
-6.5151,-25.0731,-2.1828
-6.4404,-25.0273,-2.133
-6.2901,-24.9329,-2.0385
-6.5239,-25.1167,-2.2133
-6.2985,-24.9771,-2.0672
-6.2224,-24.9291,-2.0198
-6.5242,-25.1656,-2.2466
-6.4499,-25.1205,-2.1966
-6.3748,-25.0745,-2.147
-6.3002,-25.0283,-2.0989
-6.2246,-24.981,-2.0512
-6.1496,-24.9337,-2.0047
-6.5441,-25.222,-2.2912
-6.3938,-25.1314,-2.1898
-6.3182,-25.0852,-2.1402
-6.2433,-25.039,-2.0919
-6.1671,-24.9913,-2.0443
-6.5815,-25.2759,-2.3375
-6.4697,-25.2455,-2.2882
-6.3197,-25.1556,-2.1873
-6.2452,-25.1104,-2.1383
-6.0949,-25.0182,-2.0419
-6.6454,-25.3862,-2.4357
-6.5704,-25.3423,-2.3834
-6.495,-25.2979,-2.3315
-6.4206,-25.2537,-2.2809
-6.3457,-25.2091,-2.2301
-6.1193,-25.0723,-2.0813
-6.6883,-25.4444,-2.4916
-6.7333,-25.507,-2.5545
-6.5843,-25.4217,-2.4475
-6.5092,-25.3783,-2.3945
-6.3606,-25.2914,-2.2917
-6.2097,-25.2022,-2.1894
-6.1346,-25.1572,-2.1398
-6.0583,-25.1109,-2.0906
-7.0195,-25.7018,-2.8155
-6.9472,-25.663,-2.758
-6.8738,-25.624,-2.699
-6.8006,-25.5849,-2.6405
-6.7001,-25.5703,-2.6003
-6.3272,-25.3579,-2.3318
-6.1771,-25.2703,-2.2281
-6.8087,-25.6774,-2.7322
-6.5883,-25.5584,-2.5594
-6.0644,-25.2574,-2.1884
-5.9888,-25.2122,-2.1387
-6.9088,-25.7825,-2.8666
-6.8365,-25.7444,-2.808
-6.6915,-25.6686,-2.6893
-6.6183,-25.6296,-2.6308
-6.4702,-25.5477,-2.5195
-6.3955,-25.5054,-2.4653
-6.3205,-25.4629,-2.4111
-6.2467,-25.4209,-2.358
-6.1722,-25.378,-2.3056
-6.0971,-25.3346,-2.2533
-6.0217,-25.291,-2.2005
-5.9463,-25.2464,-2.1502
-6.6569,-25.7023,-2.7108
-6.5097,-25.6231,-2.5955
-6.4356,-25.5822,-2.5397
-6.0307,-25.4062,-2.2882
-5.9555,-25.3633,-2.2349
-5.8809,-25.3201,-2.1835
-6.7913,-25.8848,-2.9392
-6.7189,-25.8477,-2.8789
-6.647,-25.8114,-2.8181
-6.5023,-25.7374,-2.6973
-6.4287,-25.6984,-2.6391
-6.3546,-25.6579,-2.5829
-6.2055,-25.5757,-2.4717
-6.1305,-25.534,-2.4165
-6.0565,-25.4925,-2.3628
-5.9073,-25.4086,-2.2549
-6.7374,-25.9319,-2.9728
-6.5219,-25.8238,-2.789
-6.4488,-25.7862,-2.7286
-6.3018,-25.7083,-2.6123
-6.2275,-25.6676,-2.5564
-6.1532,-25.6271,-2.5001
-6.0784,-25.5858,-2.4445
-6.0048,-25.545,-2.3902
-5.8563,-25.4624,-2.2815
-6.6108,-25.9397,-2.9421
-6.5392,-25.9046,-2.8796
-6.4678,-25.8691,-2.8181
-6.3964,-25.8329,-2.7582
-6.3231,-25.7949,-2.6988
-6.2494,-25.7556,-2.6413
-6.1756,-25.7159,-2.5842
-6.1012,-25.6754,-2.5281
-6.0269,-25.6352,-2.4714
-5.9535,-25.5947,-2.4169
-5.8798,-25.5542,-2.3621
-5.8057,-25.5134,-2.3071
-5.7305,-25.4711,-2.2532
-6.6321,-26.0208,-3.0382
-6.5615,-25.9861,-2.9765
-6.4899,-25.9512,-2.9134
